,station_complex_id,station_complex,borough,ridership_full_metro,ridership_fair,ridership_metro,ridership_senior,ridership_student,ridership_unlimited,ridership_unlimited_7d,ridership_full,ridership_other,ridership,total_ridership
0,159,"81 St-Museum of Natural History (C,B)",Manhattan,647396.0,47551.0,93445.0,115115.0,77250.0,236416.0,536748.0,1712741.0,169.0,13388.0,3501889.0
1,125,Morgan Av (L),Brooklyn,201422.0,40703.0,49337.0,17447.0,47547.0,145195.0,138201.0,1129422.0,48.0,1306.0,1738738.0
2,296,Marble Hill-225 St (1),Manhattan,224185.0,74740.0,42291.0,43841.0,82704.0,104811.0,135606.0,362053.0,43.0,1640.0,1073464.0
3,84,85 St-Forest Pkwy (J),Queens,190234.0,40511.0,33675.0,31067.0,78433.0,82407.0,126353.0,251479.0,43.0,718.0,832312.0
4,81,111 St (J),Queens,120337.0,18155.0,18920.0,14823.0,48658.0,40799.0,65319.0,129306.0,35.0,464.0,452719.0
5,432,"Prospect Av (2,5)",Bronx,262633.0,95365.0,98686.0,36213.0,121238.0,112398.0,180852.0,343223.0,66.0,431.0,1188632.0
6,243,"Church Av (F,G)",Brooklyn,425873.0,85093.0,161990.0,97875.0,138267.0,259222.0,201470.0,785645.0,224.0,4184.0,2095728.0
7,131,Bushwick Av-Aberdeen St (L),Brooklyn,74937.0,21665.0,23051.0,7823.0,36146.0,52143.0,63307.0,269294.0,19.0,340.0,533497.0
8,444,Gun Hill Rd (5),Bronx,236710.0,49641.0,57367.0,40748.0,71275.0,89801.0,101659.0,289449.0,49.0,799.0,920879.0
9,183,Rockaway Av (C),Brooklyn,189171.0,57106.0,64467.0,30438.0,86510.0,107197.0,119849.0,434921.0,88.0,503.0,1056221.0
10,305,137 St-City College (1),Manhattan,414518.0,142051.0,123665.0,91235.0,153382.0,335886.0,357552.0,1149991.0,230.0,3884.0,2739964.0
11,193,104 St (A),Queens,105428.0,16214.0,20956.0,13213.0,32445.0,31268.0,41676.0,108285.0,32.0,237.0,362011.0
12,30,Prospect Av (R),Brooklyn,231067.0,43103.0,49898.0,27613.0,79417.0,129723.0,110964.0,626246.0,71.0,2545.0,1278362.0
13,456,61 St-Woodside (7),Queens,899141.0,109851.0,190174.0,175991.0,224372.0,560664.0,565137.0,1544535.0,447.0,3950.0,4260079.0
14,78,Avenue U (N),Brooklyn,193382.0,67525.0,29434.0,66520.0,74408.0,173999.0,62918.0,214316.0,106.0,600.0,920294.0
15,79,86 St (N),Brooklyn,117847.0,51287.0,25018.0,45272.0,54441.0,87962.0,50879.0,130763.0,24.0,425.0,584172.0
16,127,DeKalb Av (L),Brooklyn,427753.0,66581.0,91652.0,48076.0,128512.0,239107.0,238573.0,1528198.0,151.0,1065.0,2726092.0
17,45,Beverley Rd (Q),Brooklyn,145342.0,26196.0,29304.0,28878.0,53421.0,80558.0,73019.0,360042.0,50.0,1357.0,797741.0
18,158,"86 St (C,B)",Manhattan,387913.0,45181.0,82802.0,118121.0,129874.0,244702.0,225107.0,1236345.0,195.0,12595.0,2518154.0
19,191,88 St (A),Queens,155112.0,26906.0,28242.0,22785.0,38478.0,61243.0,56678.0,194576.0,8.0,341.0,578912.0
20,52,Avenue U (Q),Brooklyn,319900.0,90376.0,50261.0,116272.0,108220.0,259781.0,122749.0,527142.0,107.0,2340.0,1663159.0
21,354,"Sterling St (2,5)",Brooklyn,231629.0,48638.0,62083.0,49357.0,55745.0,124462.0,130138.0,533194.0,60.0,1107.0,1223687.0
22,463,Hunters Point Av (7),Queens,267218.0,33753.0,88610.0,28064.0,16906.0,113195.0,107795.0,399581.0,110.0,1698.0,996384.0
23,304,145 St (1),Manhattan,335817.0,102512.0,74300.0,78525.0,90227.0,260502.0,325235.0,832677.0,223.0,2733.0,2106976.0
24,188,"Euclid Av (A,C)",Brooklyn,486604.0,172117.0,172115.0,82053.0,173536.0,203354.0,254119.0,658244.0,96.0,1189.0,2113365.0
25,297,215 St (1),Manhattan,88922.0,24764.0,41527.0,25537.0,31376.0,53365.0,40944.0,173252.0,17.0,1417.0,465131.0
